,routing_agreement,chance_agreement,mean_weights,weight_std_over_time,mean_entropy,mean_effective_experts
neither,0.24918032786885247,0.25,"{'ridge_ar': np.float64(0.267), 'arima': np.float64(0.271), 'boosting': np.float64(0.288), 'sequence': np.float64(0.173)}","{'ridge_ar': np.float64(0.15), 'arima': np.float64(0.15), 'boosting': np.float64(0.257), 'sequence': np.float64(0.256)}",0.729,2.87
representation,0.26721311475409837,0.25,"{'ridge_ar': np.float64(0.258), 'arima': np.float64(0.263), 'boosting': np.float64(0.26), 'sequence': np.float64(0.218)}","{'ridge_ar': np.float64(0.148), 'arima': np.float64(0.156), 'boosting': np.float64(0.212), 'sequence': np.float64(0.264)}",0.758,2.96
routing,0.23770491803278687,0.25,"{'ridge_ar': np.float64(0.256), 'arima': np.float64(0.265), 'boosting': np.float64(0.278), 'sequence': np.float64(0.201)}","{'ridge_ar': np.float64(0.16), 'arima': np.float64(0.168), 'boosting': np.float64(0.266), 'sequence': np.float64(0.272)}",0.703,2.77
both,0.26721311475409837,0.25,"{'ridge_ar': np.float64(0.264), 'arima': np.float64(0.276), 'boosting': np.float64(0.236), 'sequence': np.float64(0.223)}","{'ridge_ar': np.float64(0.159), 'arima': np.float64(0.179), 'boosting': np.float64(0.225), 'sequence': np.float64(0.283)}",0.713,2.81
