,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
rw,0.010419099471397422,0.013855207859245664,1.0,0.9252023198497418,,0.0,,3.9968028886505635e-15
expert_arima,0.010452030626672004,0.013875097769003055,1.0031606527382702,0.9281265630954288,0.5221295702373316,1.0,0.14746486966679262,2.0650148258027912e-14
expert_ridge_ar,0.010478331658624163,0.01390404104416834,1.0056849622550725,0.9304620601163931,0.49454778704297625,1.0,0.026413984504239263,1.3100631690576847e-13
simple_avg,0.010844450810024078,0.014420618299574363,1.0408241940480876,0.9629729588890285,0.4939063502245029,1.0,1.1537985724618949e-06,1.267700899809654e-08
expert_boosting,0.011174596352203537,0.014809633937871663,1.0725107657221347,0.9922894485099419,0.49775497113534317,1.0,4.53983517445522e-11,0.0672034638372705
static_nnls,0.011412847315284885,0.015159540376140075,1.0953775176650828,1.013445820454986,0.4900577293136626,1.0,3.9968028886505635e-15,
expert_sequence,0.014295238114379697,0.018924590342776652,1.3720224241666061,1.2693983297248106,0.48492623476587554,1.0,0.0,0.0
