,gated_fwd_MAE,gated_trail_MAE,gated_RelMAE,gated_MAE,static_MAE,best_expert_MAE,oracle_MAE,gate_p_vs_static,gain_vs_neither_%
neither,0.010795423020463801,0.010280337103960799,0.9699891001541013,0.010795423020463801,0.010182667825865936,0.010280112919256951,0.009844783682583636,3.3824302025919906e-08,0.0
representation,0.010724256305687916,0.010085992372767664,0.9635946367323781,0.010724256305687916,0.009971119724384556,0.01021056134537448,0.009689401818288047,4.4028758416914116e-10,0.6592304409098346
routing,0.01085225288704007,0.010265726698837423,0.9750953707502326,0.01085225288704007,0.010182667825865936,0.010280112919256951,0.009844783682583636,2.415974797997933e-08,-0.5264255645058277
both,0.010590967944624049,0.010086759429745568,0.9516184263361503,0.010590967944624049,0.009971119724384556,0.01021056134537448,0.009689401818288047,1.0897202287196706e-06,1.8939051804842395
