,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
expert_ridge_ar,0.011882452725403413,0.015520166387311463,0.9993682263780342,0.7202358220050816,0.517219387755102,1.0,0.7231493444600559,0.0
rw,0.011889964491335147,0.01547842239387065,1.0,0.7206911356541724,,0.0,,0.0
expert_arima,0.011895019783082937,0.01550291082473694,1.0004251729894966,0.7209975540588223,0.4955357142857143,1.0,0.6838864295470413,0.0
simple_avg,0.012548273874297574,0.016248887292394043,1.0553668081550767,0.7605935035010013,0.4872448979591837,1.0,3.3346703176562187e-10,2.220446049250313e-16
expert_boosting,0.012612941819031106,0.01631261023242933,1.0608056759313984,0.7645132472953915,0.5095663265306123,1.0,4.764917793664836e-09,9.103828801926284e-15
static_nnls,0.013972347575149034,0.01846252477887557,1.1751378723907402,0.8469114478035105,0.5019132653061225,1.0,0.0,
expert_sequence,0.01747372608974598,0.02275898348834128,1.469619703446551,1.059141893056643,0.4968112244897959,1.0,0.0,0.0
