metal,condition,regime_classifier_accuracy,oracle_gain_%,fraction_of_gain_retained_by_best_learned
zinc,neither,0.46174863387978143,2.035812357322545,-0.9397604155301722
zinc,routing,0.674863387978142,2.035812357322545,0.12817396055048502
zinc,representation,0.5081967213114754,1.562685634601904,-0.6378626646334549
zinc,both,0.674863387978142,1.562685634601904,0.10956453624966984
aluminium,neither,0.5737704918032787,3.4762730755986113,-0.4969050902077778
aluminium,routing,0.8046448087431693,3.4762730755986113,0.3472234614136061
aluminium,representation,0.6065573770491803,3.5244829993867235,-0.03367709016298856
aluminium,both,0.7786885245901639,3.5244829993867235,0.3974890847456618
