,gated_fwd_MAE,gated_trail_MAE,gated_RelMAE,gated_MAE,static_MAE,best_expert_MAE,oracle_MAE,gate_p_vs_static,gain_vs_neither_%
neither,0.01150330369218233,0.011106631981074934,0.9053165069176193,0.01150330369218233,0.010984933125778449,0.0111193885062511,0.010804036680738366,1.7334256487977484e-05,0.0
representation,0.011243594359701297,0.01088965839809146,0.8848772355580861,0.011243594359701297,0.010854092140388917,0.010999213646302446,0.010629102254211119,1.4161323673489434e-05,2.2576934368648516
routing,0.011461897357608969,0.011111601986599353,0.9020578049670055,0.011461897357608969,0.010984933125778449,0.0111193885062511,0.010804036680738366,0.00010754550444014299,0.3599516771994896
both,0.011517011446535887,0.01091971027996883,0.9063953149384386,0.011517011446535887,0.010854092140388917,0.010999213646302446,0.010629102254211119,6.471160718390934e-09,-0.119163630904336
