date,aluminium_close,aluminium_volume,zinc_close,zinc_volume
2016-01-04,1473.0,35960.0,1566.0,9330.0
2016-01-05,1462.5,65090.0,1572.5,20550.0
2016-01-06,1474.0,27610.0,1540.0,6140.0
2016-01-07,1473.5,29900.0,1488.5,6870.0
2016-01-08,1491.75,48780.0,1502.5,13090.0
2016-01-11,1459.0,49910.0,1465.5,7390.0
2016-01-12,1449.5,43920.0,1460.5,9930.0
2016-01-13,1462.5,50560.0,1485.0,9290.0
2016-01-14,1483.0,51600.0,1512.0,17040.0
2016-01-15,1473.0,32840.0,1475.5,9860.0
2016-01-18,1480.25,30700.0,1494.5,30210.0
2016-01-19,1481.0,24770.0,1500.5,4430.0
2016-01-20,1469.0,46110.0,1482.0,4090.0
2016-01-21,1482.5,13350.0,1507.5,4670.0
2016-01-22,1482.25,11080.0,1510.0,5750.0
2016-01-25,1476.5,15690.0,1517.5,4880.0
2016-01-26,1495.75,25450.0,1589.0,3630.0
2016-01-27,1527.0,16290.0,1612.0,6080.0
2016-01-28,1514.0,22480.0,1576.5,15950.0
2016-01-29,1519.25,19570.0,1616.0,9100.0
2016-02-01,1520.75,15410.0,1650.0,10210.0
2016-02-02,1500.5,27890.0,1664.5,8080.0
2016-02-03,1524.5,25220.0,1696.0,5240.0
2016-02-04,1533.75,20980.0,1715.0,8810.0
2016-02-05,1496.5,42550.0,1668.5,5550.0
2016-02-08,1498.25,32400.0,1733.0,9610.0
2016-02-09,1477.25,33590.0,1677.0,8820.0
2016-02-10,1476.0,39400.0,1700.5,8630.0
2016-02-11,1481.0,18450.0,1707.0,11080.0
2016-02-12,1496.5,15510.0,1698.5,5710.0
2016-02-15,1509.75,11300.0,1682.5,32530.0
2016-02-16,1521.0,13940.0,1659.0,4620.0
2016-02-17,1517.75,14980.0,1667.0,4000.0
2016-02-18,1517.0,40370.0,1704.5,9990.0
2016-02-19,1551.0,23140.0,1745.5,10700.0
2016-02-22,1575.75,37950.0,1782.5,8170.0
2016-02-23,1549.5,12280.0,1736.5,13170.0
2016-02-24,1568.5,26400.0,1781.0,9410.0
2016-02-25,1558.0,26510.0,1731.0,6320.0
2016-02-26,1561.0,15890.0,1753.0,10690.0
2016-02-29,1573.5,13060.0,1765.0,12530.0
2016-03-01,1572.75,19350.0,1789.0,13360.0
2016-03-02,1588.75,15700.0,1815.5,11840.0
2016-03-03,1576.5,27240.0,1845.0,9240.0
2016-03-04,1586.25,15020.0,1844.0,11430.0
2016-03-07,1598.0,17220.0,1812.5,11790.0
2016-03-08,1566.25,22320.0,1762.5,9710.0
2016-03-09,1579.75,25070.0,1792.0,7230.0
2016-03-10,1558.0,26870.0,1768.5,10110.0
